Reference,Qty,Package,Description,DigiKey Part Number,Mfr Part Number
"C1-C13",13,"C0603",CAP CER .1UF 16V 10% X7R 0603,490-1532-1-ND,GRM188R71C104KA01D
C14,1,"C0805",CAP CERAMIC 1UF 25V X5R 0805,PCC2319CT-ND,ECJ-2FB1E105K
"C15, C16",2,CAP-TANT-A,CAP TANTALUM 10UF 16V 10% SMD,495-2236-1-ND,B45196H3106K109
C17,1,CAP-SMT-CAN-D,CAP 150UF 10V ELECT MVA SMD,565-2076-1-ND,EMVA100ADA151MF55G
"C18, C19",2,"C0603",CAP CERAMIC 22PF 50V 0603 SMD,PCC220ACVCT-ND,ECJ-1VC1H220J
C20,1,"C0805",CAP CER 4700PF 250V X7R 10% 0805,445-2279-1-ND,C2012X7R2E472K
"J1, J2",2,USB-A PTH,CONN RCPT USB TYPE A R/A PCB,609-1045-ND,87520-0010BLF
J3,1,MINIUSB-B SMD,CONN RECEPT MINIUSB R/A 5POS SMD,WM17116CT-ND,54819-0572
J4,1,MOLEX 6 POS PTH,CONN HEADER 6POS .100 VERT TIN,WM4004-ND,22-03-2061
L1,1,"C0805",FERRITE 800MA 120 OHM 0805 SMD,240-1041-1-ND,LI0805H121R-00
R1,1,"C0603",RES 47K OHM 1/10W 5% 0603 SMD,P47KGCT-ND,ERJ-3GEYJ473V
R2,1,"C0805",RES 1.0M OHM 1/10W 5% 0603 SMD,541-1.0MGCT-ND,CRCW06031M00JNEA
U1,1,QFP-100-.5-16.0X16.0,IC USB HOST/PERIPH CNTRL 100TQFP,428-1865-ND,CY7C67300-100AXI
U2,1,QFP-64-.5-12.0X12.0,IC CPLD 1.6K 72MCELL 64-VQFP,122-1388-ND,XC9572XL-10VQG64C
U3,1,GW-48-.5-20.0,IC FLASH MEM 32M 3V 48TSOP,AT49BV320D-70TU-ND,AT49BV320D-70TU
U4,1,GW-08-.65-4.9,IC 3.3V LDO/DUAL SWITCH 8-MSOP,296-13388-5-ND,TPS2149IDGN
X1,1,XTAL-HC49-SMT,CRYSTAL 12.000 MHZ 20PF CSM-7,XC736CT-ND,ECS-120-20-5PDN-TR
